"Title","City","County","State","Group","Ideology","Year","City_State_HG"
"11th Hour Remnant Messenger","Sandpoint","Bonner","Idaho","","Christian Identity ",2000,"Sandpoint, Idaho"
"14 Words Press","St. Maries","Benewah","Idaho","","White Nationalist ",2000,"St. Maries, Idaho"
"2YT4U","Ferndale","Oakland","Michigan","","Racist Skinhead ",2000,"Ferndale, Michigan"
"88 Enterprises","Canton","Stark","Ohio","","General Hate ",2000,"Canton, Ohio"
"Alabama White Knights of the KKK","Anniston","Calhoun","Alabama","","Ku Klux Klan ",2000,"Anniston, Alabama"
"Alabama White Knights of the KKK","Birmingham","Jefferson","Alabama","","Ku Klux Klan ",2000,"Birmingham, Alabama"
"Alabama White Knights of the KKK","Clanton","Chilton","Alabama","","Ku Klux Klan ",2000,"Clanton, Alabama"
"Alabama White Knights of the KKK","Gadsden","Etowah","Alabama","","Ku Klux Klan ",2000,"Gadsden, Alabama"
"Alabama White Knights of the KKK","Jasper","Walker","Alabama","","Ku Klux Klan ",2000,"Jasper, Alabama"
"Alabama White Knights of the KKK","Moody","St. Clair","Alabama","","Ku Klux Klan ",2000,"Moody, Alabama"
"Alabama White Knights of the KKK","Pelham","Shelby","Alabama","","Ku Klux Klan ",2000,"Pelham, Alabama"
"Alabama White Knights of the KKK","Robertsdale","Baldwin","Alabama","","Ku Klux Klan ",2000,"Robertsdale, Alabama"
"Alabama White Knights of the KKK","Satsuma","Mobile","Alabama","","Ku Klux Klan ",2000,"Satsuma, Alabama"
"Alabama White Knights of the KKK","Springville","St. Clair","Alabama","","Ku Klux Klan ",2000,"Springville, Alabama"
"Alabama White Knights of the KKK","Valley","Chambers","Alabama","","Ku Klux Klan ",2000,"Valley, Alabama"
"Alabama White Knights of the KKK","Wilton","Shelby","Alabama","","Ku Klux Klan ",2000,"Wilton, Alabama"
"America's Invisible Empire Knights of the KKK","Alexandria","Rapides","Louisiana","","Christian Identity ",2000,"Alexandria, Louisiana"
"America's Invisible Empire Knights of the KKK","Eva","Morgan","Alabama","","Christian Identity ",2000,"Eva, Alabama"
"America's Invisible Empire Knights of the KKK","Hartselle","Morgan","Alabama","","Christian Identity ",2000,"Hartselle, Alabama"
